gene,MF.score
CASP2,7.25755516251292e-5
ARRB2,4.61445510074336e-4
INHBA,5.28547708516898e-4
FZD4,2.67218793302396e-4
SFRP1,7.95706268682588e-4
SLIT3,1.95078352910919e-4
SLIT2,9.4625309632445e-4
ROBO2,1.72002372337859e-4
DBH,2.91322069783561e-4
GNAQ,1.26814994361688e-4
NPAS3,2.34990688497585e-5
NPAS1,2.3640463768077e-5
MBD2,6.07873316769351e-5
ESR1,3.26473060279251e-4
CTNNA1,1.61314406500643e-4
ESR2,1.34437116394868e-4
VEGFA,0.00115260045410825
TAF4,3.05088700488736e-5
INHA,2.49279393896296e-4
ICAM1,3.35050228982156e-4
ADCYAP1,5.35497832295038e-4
KDR,1.78899962057588e-4
EIF2B2,9.2414309666824e-5
MMP14,9.79134963895737e-5
FOXL2,3.10337421863769e-4
EIF2B5,8.09451222667365e-5
LFNG,6.15622835815932e-5
EIF2B4,1.28214002817043e-4
STAT5B,3.91471866632031e-4
STAT5A,4.94016687399448e-4
PDGFRA,4.79569829345303e-4
NR5A1,1.02304251005688e-4
TGFB3,2.88891575478504e-4
TGFB2,5.97955110858141e-4
NPY5R,1.59163390580383e-4
MAP2K6,1.25077962498019e-4
MSTN,1.81782713863117e-4
CMPK1,7.13689204715341e-4
NCOR2,1.30688882925209e-4
EGFR,5.20982885161316e-4
SERPINF1,1.26351485259992e-4
GNRH1,9.6652206205812e-5
TIMP4,2.11985498714049e-5
STC2,4.35641060948483e-5
CTSB,5.85733546833335e-5
CYP27B1,4.38759203189497e-4
SPP1,1.80934561670406e-4
VDR,5.74362071641105e-4
LIF,4.15032272108209e-4
JUNB,6.83498250004311e-5
EPOR,1.19100141732012e-4
GJB2,9.60799015270983e-5
BSG,4.16289640891481e-5
STC1,2.82032066214698e-4
PPARD,2.1942208542254e-4
GHSR,2.59965824555327e-4
CITED2,3.76272766526092e-4
GHRL,6.63962650336817e-4
RXRB,7.29562643503432e-5
TMED2,9.93225092576524e-5
RXRA,1.79676091444638e-4
PRDX3,1.93397970867474e-4
NODAL,9.96455947155598e-4
STOX2,5.04721469872672e-6
MED1,5.73409788042752e-4
HMX3,9.29208735788821e-6
PLA2G6,2.47890151567521e-4
ADCY7,6.47749717728898e-5
AGRP,3.89632154276991e-5
MEN1,1.43778634378545e-4
NPFF,1.51732766430632e-4
KPNA6,1.28327440822599e-5
ARG1,2.60404254976643e-4
CCL2,7.68614211397948e-4
ITGA3,1.03174064186041e-4
UBE2A,5.74265606412534e-5
DSG1,3.00239854483385e-5
PPAT,1.33444226431183e-4
DSG2,3.96540523060788e-5
APOL2,2.04328364635599e-5
ACE2,2.60704520929502e-4
ACSL4,2.46305864293163e-4
SP3,6.77370230331773e-5
SP1,8.80906879418975e-5
CYP1A1,4.03911863325859e-4
EDN1,9.46718296981735e-4
TK1,2.37493792269673e-4
COMT,4.3262625540193e-4
GHRHR,1.50135112445817e-4
PTPN11,4.12970447776016e-4
AURKA,4.73775722163563e-4
MYH9,2.20351693477251e-4
ESPL1,1.20641716989911e-4
MOS,2.50942681504212e-4
TUBG1,4.84950992279087e-5
MSH5,6.49407513882675e-5
MSH3,3.12670020207487e-4
MSH6,2.95669723063843e-4
TEX12,4.72489574702154e-5
RNF212,5.05899887385115e-5
SYCE1L,1.55200483346843e-5
MLH3,9.58186305347018e-5
SYCE2,2.34112767368318e-5
SYDE1,4.9139767057546e-5
SYCE1,2.34112767368318e-5
LEPREL4,1.55876820736397e-5
STAG3,8.49526626586954e-5
MRE11A,1.42663560128497e-4
CCDC79,6.37449441260628e-5
HFM1,2.40063283398346e-5
STRA13,7.24213331712357e-5
TOP2A,2.79111911029403e-4
TOP2B,1.24599193265664e-4
FANCM,5.53560176434467e-5
APITD1,5.9441385471498e-5
ERCC4,3.09524774947841e-4
RAD51B,6.29609693828865e-5
RAD21,4.83396285902901e-5
