gene,logFC
APPL2,0.3823483184068853
APRT,0.23987878438718993
APTR,-1.6235758755942302
APTX,-0.38835415857518735
AQP1,1.4438934540036263
AQP10,-0.13776864206627537
AQP11,-2.0351768042503626
AQP12A|AQP12B,-0.1295837522053566
AQP12B|AQP12A,0.08711069652055464
AQP2,-0.08427005946767525
AQP3,-1.5219695365482884
AQP5,0.09737192011986852
AQP6,-0.36814702072584365
AQP7|AQP7P1,-0.8021192878949949
AQP8,-0.02230569636620783
AQP9,-3.0887142627980184
AQR,-0.0836663526833162
AR,-3.1716259367792956
ARAF,-0.2346081387152775
ARAP1,1.005752752750181
ARAP2,1.0747211001954586
ARAP3,0.65721790276037
ARC,-0.34438044120160866
ARCN1,-0.2223153285204731
AREG,2.6644565837581378
AREL1,-0.2008629090233909
ARF1,-0.28642825222888413
ARF3,0.8254741748903084
ARF4,-0.34287855952691815
ARF5,0.18092138908908814
ARF6,-0.21016988522791558
ARFGAP1,0.29790970303166153
ARFGAP2,-0.4179398435192162
ARFGAP3,-0.9624270476407855
ARFGEF1,-0.5083861708116786
ARFGEF2,-0.8161659471369663
ARFGEF3,0.1972281194015119
ARFIP1,0.48601289237726497
ARFIP2,-0.19235005040673356
ARFRP1,-0.324698189795635
ARG1,-4.634065846223904
ARG2,-1.1380922047361086
ARGLU1,1.526607419854219
ARHGAP1,0.5768948334168713
ARHGAP10,0.15490089351367944
ARHGAP12,-0.4865987498619108
ARHGAP15,2.1512420663835194
ARHGAP17,0.5939312524610167
ARHGAP18,1.9015441429919941
ARHGAP19,0.14050441069130334
